,iteration,P_i,C_j
976,4,177,1
977,4,178,1
978,4,179,1
979,4,180,1
980,4,181,1
981,4,182,1
982,4,183,1
983,4,184,1
984,4,185,1
985,4,186,1
986,4,187,1
987,4,188,1
988,4,189,1
989,4,190,1
990,4,191,1
991,4,192,1
992,4,193,1
993,4,194,1
994,4,195,1
995,4,196,1
996,4,197,1
997,4,198,1
998,4,199,1
999,4,200,1
